full_name,season,games_started,games_played,avg_turnovers,avg_steals,avg_twos_made,avg_two_twos_pct,avg_threes_made,avg_threes_pct,avg_free_throws_made,avg_free_throws_pct,avg_minutes,avg_points,avg_rebounds,avg_assists
Curtis McRoy,2015,30,30,0.2,0.1,0.0,0.0,0.1,6.8,0.0,0.0,6.1,0.4,0.6,0.2
Sajon Ford,2016,31,31,0.4,0.1,0.4,22.7,0.0,0.0,0.0,0.0,4.4,0.7,0.6,0.1
Zach Korkowski,2015,32,32,0.2,0.1,0.4,0.3,0.0,0.0,0.3,20.0,2.9,1.1,0.6,0.3
Trey Patterson,2014,28,28,1.1,0.5,0.8,0.4,0.0,0.0,0.6,24.3,9.4,2.1,0.6,0.8
V.J. Beachem,2013,32,32,0.2,0.2,0.4,17.7,0.3,13.8,0.2,14.1,7.2,2.0,0.6,0.2
Alvin Ellis III,2014,39,39,0.5,0.3,0.3,0.1,0.2,8.5,0.4,13.0,8.6,1.4,0.6,0.5
Mareik Isom,2016,32,32,0.2,0.1,0.1,7.3,0.2,10.6,0.0,1.6,3.3,0.8,0.6,0.0
Calaen Robinson,2013,33,33,0.2,0.3,0.1,2.0,0.2,12.9,0.2,9.1,3.8,0.9,0.6,0.6
Pape Diatta,2017,33,33,0.2,0.1,0.0,3.2,0.1,3.2,0.1,3.0,3.9,0.6,0.6,0.2
Jose Martinez,2016,57,57,0.2,0.0,0.1,10.0,0.3,13.3,0.2,4.3,3.9,1.4,0.6,0.1
Paulius Vinogradovas,2014,34,34,0.3,0.0,0.0,0.0,0.0,0.0,0.2,4.6,4.6,0.2,0.6,0.0
Cheikh N'diaye,2016,32,32,0.3,0.0,0.4,13.7,0.0,0.0,0.3,7.1,3.1,1.0,0.6,0.0
Shaquillo Fritz,2017,32,32,0.1,0.0,0.0,0.0,0.0,0.0,0.3,12.5,2.0,0.3,0.6,0.0
Zach Young,2014,29,29,0.8,0.1,0.1,0.0,0.0,0.0,0.3,13.2,10.6,0.4,0.6,1.1
Jamere Dismukes,2013,32,32,0.4,0.0,0.2,10.0,0.0,0.0,0.4,20.0,2.6,0.8,0.6,0.4
Matt Jackson,2016,33,33,0.3,0.0,0.2,6.7,0.0,0.0,0.0,0.0,3.0,0.5,0.6,0.3
Kareem South,2015,33,33,0.4,0.0,0.2,0.1,0.0,0.0,0.3,11.1,7.2,0.8,0.6,0.4
Jordan Omogbehin,2014,31,31,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,2.7,0.3,0.6,0.1
Jagos Lasic,2015,32,32,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,3.3,0.4,0.6,0.1
Dusan Kovacevic,2017,33,33,0.2,0.0,0.3,8.8,0.0,3.3,0.2,8.3,2.5,0.8,0.6,0.1
